id,entity_name,entity_description,entity_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
25,InterviewDate,The final edited interview date used to determine the final age.,"[-0.03360017  0.00306488  0.00777571 ... -0.00225255 -0.00578212
 -0.02599473]","[ 0.07317507  0.01642443 -0.00475538 ...  0.00291994  0.02725514
  0.02027726]","[-0.03360017  0.00306488  0.00777571 ...  0.00291994  0.02725514
  0.02027726]",-1,15,DBSCAN_-1_AGG_15
26,QuestionnaireRosterAge,"The age entered in the questionnaire roster, if it exists.","[-0.01270783  0.01719889 -0.00302714 ... -0.01348041  0.0427734
 -0.01595699]","[ 0.00354339  0.03907269  0.01864375 ... -0.03622214  0.04552242
 -0.00847247]","[-0.01270783  0.01719889 -0.00302714 ... -0.03622214  0.04552242
 -0.00847247]",-1,15,DBSCAN_-1_AGG_15
27,PreInterviewScreenerAge,The age recorded in the pre-interview screener.,"[ 0.00348043  0.02149594  0.01606134 ... -0.01728804 -0.01411429
 -0.02400642]","[ 0.01339266  0.04204672  0.00894732 ... -0.0259642   0.00992416
  0.00089898]","[ 0.00348043  0.02149594  0.01606134 ... -0.0259642   0.00992416
  0.00089898]",-1,15,DBSCAN_-1_AGG_15
28,Number_of_Times_Married,The number of times the respondent has been married.,"[ 0.01377835  0.03012755  0.03743709 ... -0.01422304 -0.02619485
  0.03888232]","[ 0.00292873  0.02998813  0.05043688 ... -0.00775074 -0.00993262
  0.01855864]","[ 0.01377835  0.03012755  0.03743709 ... -0.00775074 -0.00993262
  0.01855864]",0,9,DBSCAN_0_AGG_9
29,Respondent,The individual who is responding to the survey question about their marital history.,"[-0.00286437  0.01265332 -0.00940965 ... -0.01557562  0.02669679
  0.01563541]","[ 0.01087985  0.01939988  0.01061917 ... -0.01343174 -0.01848065
  0.00884245]","[-0.00286437  0.01265332 -0.00940965 ... -0.01343174 -0.01848065
  0.00884245]",0,17,DBSCAN_0_AGG_17
30,Service,Have you ever been in the United States Armed Forces?,"[-0.00791077 -0.00665363  0.02570694 ... -0.01693763  0.0017324
  0.0096217 ]","[-0.05107522  0.00289544  0.02009643 ...  0.00547005 -0.03077346
 -0.01611821]","[-0.00791077 -0.00665363  0.02570694 ...  0.00547005 -0.03077346
 -0.01611821]",-1,9,DBSCAN_-1_AGG_9
31,US Armed Forces,United States Armed Forces,"[-0.02085895  0.02257627  0.06372613 ...  0.00456413 -0.02893039
 -0.01337535]","[-0.02850232  0.02311032  0.05917624 ...  0.01546035 -0.02879844
 -0.00973521]","[-0.02085895  0.02257627  0.06372613 ...  0.01546035 -0.02879844
 -0.00973521]",0,9,DBSCAN_0_AGG_9
32,MilitaryStatus,Current military status of the respondent in the United States Armed Forces.,"[-0.02074268  0.01571629  0.01350044 ...  0.01287745 -0.04312778
  0.02421159]","[-0.01266568  0.06024484  0.01936441 ... -0.01083932 -0.00693016
  0.02353001]","[-0.02074268  0.01571629  0.01350044 ... -0.01083932 -0.00693016
  0.02353001]",0,9,DBSCAN_0_AGG_9
33,ActiveDutyStatus,Respondent is currently on active duty in the United States Armed Forces.,"[-0.00303541  0.02317684 -0.00472831 ...  0.02810431 -0.02764697
  0.03177779]","[-0.03533636  0.05947905  0.00758116 ...  0.0108693   0.02219652
 -0.01579833]","[-0.00303541  0.02317684 -0.00472831 ...  0.0108693   0.02219652
 -0.01579833]",0,9,DBSCAN_0_AGG_9
34,ReserveComponentStatus,Respondent is currently in a Reserve component of the United States Armed Forces.,"[-0.06103022 -0.00118139 -0.0187636  ...  0.01322737 -0.00490223
  0.04079767]","[-0.04857645  0.04746219  0.01715165 ...  0.00501417  0.02048117
 -0.00732228]","[-0.06103022 -0.00118139 -0.0187636  ...  0.00501417  0.02048117
 -0.00732228]",0,9,DBSCAN_0_AGG_9
35,SeparatedOrRetiredStatus,Respondent is now separated or retired from the United States Armed Forces.,"[ 0.01964079 -0.0057325   0.01379419 ...  0.00170362 -0.03120808
  0.01888537]","[-0.01391325  0.0344114   0.02600769 ...  0.00147364 -0.00776646
 -0.0083838 ]","[ 0.01964079 -0.0057325   0.01379419 ...  0.00147364 -0.00776646
 -0.0083838 ]",0,9,DBSCAN_0_AGG_9
36,ActiveDuty,Serving on active duty in the United States Armed Forces or Reserve components.,"[ 0.0016057   0.02548091 -0.00610746 ...  0.02360401 -0.01319091
  0.01491767]","[-0.04800799  0.04434397  0.03128505 ...  0.01197264 -0.00644139
  0.01447991]","[ 0.0016057   0.02548091 -0.00610746 ...  0.01197264 -0.00644139
  0.01447991]",0,9,DBSCAN_0_AGG_9
37,USMilitary,"The United States Armed Forces, including Reserve components.","[-0.0174368   0.02438702  0.04378335 ...  0.00520501 -0.04372212
 -0.01279056]","[-0.02170798  0.05419886  0.04448769 ... -0.0092464  -0.00473529
  0.00906595]","[-0.0174368   0.02438702  0.04378335 ... -0.0092464  -0.00473529
  0.00906595]",0,9,DBSCAN_0_AGG_9
38,Activation,Get activated for duty during national emergency or military conflict.,"[ 0.0010501   0.05230351 -0.0292637  ... -0.01111307 -0.00833659
  0.00837941]","[-0.02660986  0.04931029  0.02348517 ...  0.02518306 -0.02769423
  0.00730523]","[ 0.0010501   0.05230351 -0.0292637  ...  0.02518306 -0.02769423
  0.00730523]",-1,9,DBSCAN_-1_AGG_9
39,NationalEmergency,Situations requiring the activation of military personnel.,"[-0.02552223  0.02827683  0.04238715 ...  0.00398434 -0.01149625
 -0.00156527]","[-0.02256493  0.07835732  0.06998158 ... -0.01704079 -0.02649106
  0.01553922]","[-0.02552223  0.02827683  0.04238715 ... -0.01704079 -0.02649106
  0.01553922]",-1,9,DBSCAN_-1_AGG_9
40,MilitaryConflict,Conflicts requiring military engagement.,"[-0.03121974  0.00665754  0.05304688 ...  0.0381041  -0.03511554
 -0.00596711]","[-0.02431833  0.05897674  0.13138674 ... -0.00460295 -0.02966512
 -0.00187432]","[-0.03121974  0.00665754  0.05304688 ... -0.00460295 -0.02966512
 -0.00187432]",-1,9,DBSCAN_-1_AGG_9
41,Respondent,Individual answering the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[-0.02751919  0.00494368  0.05121878 ... -0.03326363  0.00866178
  0.01339117]","[-0.00286051  0.01264529 -0.00938681 ... -0.03326363  0.00866178
  0.01339117]",0,17,DBSCAN_0_AGG_17
42,ActiveDutyPeriod,The period when the respondent served active duty in the United States Armed Forces or Reserve components,"[-0.01000309  0.02106462  0.05113351 ...  0.01349895 -0.00290328
  0.02693826]","[-0.02470431  0.01783309  0.05892673 ...  0.01721816  0.02297982
  0.00622955]","[-0.01000309  0.02106462  0.05113351 ...  0.01721816  0.02297982
  0.00622955]",0,9,DBSCAN_0_AGG_9
43,PersianGulfWar,A specific conflict period included in the active duty response options: Persian Gulf War.,"[-0.07553706 -0.00297323  0.01381606 ...  0.01752349  0.00433227
 -0.03682432]","[-0.0564933   0.03990243  0.0720674  ...  0.03030501  0.02442753
 -0.01866164]","[-0.07553706 -0.00297323  0.01381606 ...  0.03030501  0.02442753
 -0.01866164]",-1,9,DBSCAN_-1_AGG_9
44,SurveyRespondent,Individual responding to the survey question.,"[-0.00230483  0.00949373 -0.02934157 ... -0.02026319  0.01685138
 -0.00813643]","[-0.01401652  0.01573347  0.05556662 ... -0.02347533  0.01105089
  0.01194838]","[-0.00230483  0.00949373 -0.02934157 ... -0.02347533  0.01105089
  0.01194838]",0,17,DBSCAN_0_AGG_17
45,MilitaryService,Service in the United States Armed Forces or Reserve components.,"[-0.02987954  0.04177094  0.0049845  ...  0.01332633 -0.03883242
 -0.01557142]","[-0.03533388  0.04892745  0.00920324 ...  0.00193397 -0.01709174
  0.01916951]","[-0.02987954  0.04177094  0.0049845  ...  0.00193397 -0.01709174
  0.01916951]",0,9,DBSCAN_0_AGG_9
46,ActiveDutyPeriod,Period when the respondent served on active duty in the United States Armed Forces or Reserve components.,"[-0.01000309  0.02106462  0.05113351 ...  0.01349895 -0.00290328
  0.02693826]","[-0.04505281  0.02413543  0.04260808 ...  0.01034643  0.03470014
 -0.00611181]","[-0.01000309  0.02106462  0.05113351 ...  0.01034643  0.03470014
 -0.00611181]",0,9,DBSCAN_0_AGG_9
47,ServiceInUSArmedForces,Respondent's service in the United States Armed Forces or Reserve components.,"[-0.04299491  0.03091832  0.00874295 ...  0.01004286 -0.02946465
 -0.0073452 ]","[-0.03430444  0.05144366  0.01076728 ... -0.00531862  0.00672305
 -0.00463916]","[-0.04299491  0.03091832  0.00874295 ... -0.00531862  0.00672305
 -0.00463916]",0,9,DBSCAN_0_AGG_9
48,MilitaryServicePeriod,"Time period of active duty service in the United States Armed Forces or Reserve components, specifically from March 1961 to April 1975.","[-0.02094944  0.02090874  0.05161378 ...  0.01427384 -0.01182477
  0.00315463]","[-0.03354219  0.02773766  0.04789843 ...  0.01767944 -0.00620331
 -0.00680703]","[-0.02094944  0.02090874  0.05161378 ...  0.01767944 -0.00620331
 -0.00680703]",0,9,DBSCAN_0_AGG_9
49,VietnamEra,The specific era of the Vietnam War from March 1961 to April 1975.,"[ 0.00903516 -0.03624764 -0.05307404 ...  0.0084667   0.01782956
 -0.02324665]","[ 0.00075671 -0.00413842  0.00810026 ... -0.00409767  0.00553299
 -0.02055628]","[ 0.00903516 -0.03624764 -0.05307404 ... -0.00409767  0.00553299
 -0.02055628]",-1,9,DBSCAN_-1_AGG_9
50,Respondent,The individual providing information about their military service.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[-0.02328341 -0.00087228  0.03551061 ... -0.00790411 -0.03717176
  0.02652403]","[-0.00286051  0.01264529 -0.00938681 ... -0.00790411 -0.03717176
  0.02652403]",0,17,DBSCAN_0_AGG_17
51,ActiveDutyService,Service on active duty in the United States Armed Forces or Reserve components before the Vietnam era (March 1961).,"[-0.0114751   0.0388101  -0.00061583 ...  0.01974952 -0.02791629
  0.02758617]","[-0.02775543  0.03040869  0.01319709 ...  0.0107111   0.01058421
 -0.01696934]","[-0.0114751   0.0388101  -0.00061583 ...  0.0107111   0.01058421
 -0.01696934]",0,9,DBSCAN_0_AGG_9
52,TimePeriod,Any time before the Vietnam era (March 1961).,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[ 9.19680670e-03  8.13706685e-03  1.61377918e-02 ...  1.74919050e-03
 -9.62035410e-05 -1.96082853e-02]","[-6.60315752e-02 -1.85230058e-02  6.21348098e-02 ...  1.74919050e-03
 -9.62035410e-05 -1.96082853e-02]",0,23,DBSCAN_0_AGG_23
53,RespondentServicePeriod,The service period of the respondent in the United States Armed Forces or Reserve components.,"[-0.02172323  0.03763195  0.04492222 ... -0.00875127  0.02467476
  0.01096492]","[-0.03102605  0.05480866  0.04621312 ... -0.00456035  0.01160157
  0.01022532]","[-0.02172323  0.03763195  0.04492222 ... -0.00456035  0.01160157
  0.01022532]",0,9,DBSCAN_0_AGG_9
54,MilitaryService,Service in the United States Armed Forces or Reserve components.,"[-0.02987954  0.04177094  0.0049845  ...  0.01332633 -0.03883242
 -0.01557142]","[-0.03533388  0.04892745  0.00920324 ...  0.00193397 -0.01709174
  0.01916951]","[-0.02987954  0.04177094  0.0049845  ...  0.00193397 -0.01709174
  0.01916951]",0,9,DBSCAN_0_AGG_9
55,MilitaryCombatZone,Combat zone where the respondent served.,"[-0.02306227  0.07362357  0.01203631 ...  0.00972276 -0.00139655
 -0.0171759 ]","[-0.04214796  0.0480067   0.03305379 ... -0.01348093  0.03180043
 -0.02805492]","[-0.02306227  0.07362357  0.01203631 ... -0.01348093  0.03180043
 -0.02805492]",-1,9,DBSCAN_-1_AGG_9
56,ImminentDangerPay,Special pay received by the respondent for serving in areas of imminent danger.,"[-0.03112087 -0.0045223   0.02772333 ... -0.00774143  0.01905106
 -0.00425856]","[-0.01367655  0.03650784  0.04017529 ... -0.03028428  0.00932839
 -0.04028643]","[-0.03112087 -0.0045223   0.02772333 ... -0.03028428  0.00932839
 -0.04028643]",-1,9,DBSCAN_-1_AGG_9
57,HostileFirePay,Special pay received by the respondent for facing hostile fire.,"[-0.01044363 -0.0490384  -0.00078765 ... -0.03459818 -0.01338273
  0.01845139]","[ 1.77307054e-02 -5.70871634e-05  2.91717071e-02 ... -2.74498649e-02
 -2.02245312e-03 -2.09324788e-02]","[-0.01044363 -0.0490384  -0.00078765 ... -0.02744986 -0.00202245
 -0.02093248]",-1,9,DBSCAN_-1_AGG_9
58,ActiveDuty,Active duty service in the military.,"[ 0.0016057   0.02548091 -0.00610746 ...  0.02360401 -0.01319091
  0.01491767]","[-8.25640091e-05  5.95025569e-02  4.73119132e-02 ...  8.54967511e-04
 -1.29795996e-02  9.74106230e-03]","[ 0.0016057   0.02548091 -0.00610746 ...  0.00085497 -0.0129796
  0.00974106]",0,9,DBSCAN_0_AGG_9
59,OverallHealth,Respondent's self-assessment of their overall health.,"[-0.01856041 -0.00308793  0.04881553 ...  0.00708745 -0.03012371
  0.02320873]","[ 0.01221793  0.01606742  0.02356554 ...  0.00404363 -0.01488914
  0.00946639]","[-0.01856041 -0.00308793  0.04881553 ...  0.00404363 -0.01488914
  0.00946639]",0,19,DBSCAN_0_AGG_19
60,HealthStatus,The general health status of the respondent ranging from excellent to poor.,"[-0.00883556 -0.0410106   0.0236229  ...  0.01335608 -0.05166712
  0.02254591]","[-0.00275623  0.04490193  0.04001311 ... -0.00138987 -0.03870942
  0.01785046]","[-0.00883556 -0.0410106   0.0236229  ... -0.00138987 -0.03870942
  0.01785046]",0,19,DBSCAN_0_AGG_19
61,Individual,A respondent who is part of the survey.,"[ 0.04884096 -0.01503835  0.03291976 ... -0.02419603 -0.02325332
  0.03935408]","[ 0.01199399  0.00340076 -0.00334454 ... -0.01486776  0.01925221
  0.0131182 ]","[ 0.04884096 -0.01503835  0.03291976 ... -0.01486776  0.01925221
  0.0131182 ]",0,17,DBSCAN_0_AGG_17
62,NumberOfTimesMoved,The number of times a respondent has moved in the past 12 months.,"[-0.01973866  0.01637983  0.00581876 ... -0.03373624 -0.03755376
  0.05282385]","[-0.02329948  0.04293299  0.05715794 ... -0.05060052 -0.01161747
  0.0255197 ]","[-0.01973866  0.01637983  0.00581876 ... -0.05060052 -0.01161747
  0.0255197 ]",-1,11,DBSCAN_-1_AGG_11
63,TimePeriod,The past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[ 0.0014438   0.01662227  0.0182588  ... -0.00808121  0.02035518
 -0.01313281]","[-0.06603158 -0.01852301  0.06213481 ... -0.00808121  0.02035518
 -0.01313281]",0,23,DBSCAN_0_AGG_23
64,Move,A change in residence from one location to another.,"[-0.01305813  0.0304     -0.00887782 ... -0.03624147 -0.01265652
  0.03758014]","[ 0.0030354   0.01718487  0.0358821  ... -0.0275153  -0.02111214
  0.01030604]","[-0.01305813  0.0304     -0.00887782 ... -0.0275153  -0.02111214
  0.01030604]",-1,11,DBSCAN_-1_AGG_11
65,Location,"A specific city, town, or residence.","[-0.03088335  0.01860812  0.02364376 ... -0.03545866 -0.00339835
  0.00106362]","[ 0.00748532 -0.02692449  0.03750451 ...  0.00520502  0.01364637
  0.00934072]","[-0.03088335  0.01860812  0.02364376 ...  0.00520502  0.01364637
  0.00934072]",0,36,DBSCAN_0_AGG_36
66,Sexual Attraction,Level or type of sexual attraction to other people.,"[ 0.01424781 -0.00190395 -0.03819233 ...  0.04113674 -0.02640055
 -0.00094313]","[ 0.00823172 -0.01106248 -0.0359353  ... -0.00038494 -0.04616869
  0.01646344]","[ 0.01424781 -0.00190395 -0.03819233 ... -0.00038494 -0.04616869
  0.01646344]",-1,15,DBSCAN_-1_AGG_15
67,Person,Individual respondent who provides their feelings on sexual attraction.,"[ 0.04328212 -0.01197179 -0.02794971 ... -0.03172957  0.01668997
  0.02500833]","[ 0.05462044 -0.02020288  0.00417139 ... -0.00819743 -0.00494171
  0.02251386]","[ 0.04328212 -0.01197179 -0.02794971 ... -0.00819743 -0.00494171
  0.02251386]",0,17,DBSCAN_0_AGG_17
68,SexualIdentity,The sexual identity of the respondent as self-identified in the survey.,"[ 0.06164674 -0.00612385 -0.01786122 ...  0.0329813  -0.04429584
  0.01861942]","[ 0.02883535 -0.00056975  0.0020676  ... -0.0055455  -0.00491287
  0.00796182]","[ 0.06164674 -0.00612385 -0.01786122 ... -0.0055455  -0.00491287
  0.00796182]",0,15,DBSCAN_0_AGG_15
69,Respondent,An individual participating in the NSDUH survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[-0.01654786 -0.02206382  0.0108126  ... -0.0244164  -0.03397296
  0.0077755 ]","[-0.00286051  0.01264529 -0.00938681 ... -0.0244164  -0.03397296
  0.0077755 ]",0,17,DBSCAN_0_AGG_17
70,English Proficiency,Respondent's ability to speak English,"[ 0.02182894 -0.01487843  0.04316917 ... -0.03401947 -0.01332407
  0.00141182]","[ 0.00473014  0.01866883  0.00815276 ... -0.01827728  0.00279508
 -0.0023406 ]","[ 0.02182894 -0.01487843  0.04316917 ... -0.01827728  0.00279508
 -0.0023406 ]",-1,17,DBSCAN_-1_AGG_17
71,Respondent,The individual participating in the survey,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.0360828  -0.00101158  0.03171723 ... -0.04059687 -0.00675253
  0.0280644 ]","[-0.00286051  0.01264529 -0.00938681 ... -0.04059687 -0.00675253
  0.0280644 ]",0,17,DBSCAN_0_AGG_17
72,DifficultySeeing,Measures the difficulty in seeing even when wearing glasses or contact lenses.,"[-0.00630114  0.00034962  0.00957874 ... -0.01287329 -0.03794232
 -0.00419441]","[ 0.0208946   0.01158905  0.02620075 ... -0.01176724 -0.00952335
  0.00685047]","[-0.00630114  0.00034962  0.00957874 ... -0.01176724 -0.00952335
  0.00685047]",-1,18,DBSCAN_-1_AGG_18
