relationship,source_entity,target_entity,question_code,description
isReflectedIn,VARIABLE,MARITAL_STATUS,IREDUHIGHST2,The VARIABLE reflects the marital status questions based on how they were administered.
hasSurveyPeriod,VARIABLE,SURVEY_PERIOD,IREDUHIGHST2,Relates the variable to the specific survey period of 2015 and 2016.
considerAnalyticGoals,VARIABLE,ANALYTIC_GOALS,IREDUHIGHST2,The objectives or aims that should be taken into account when using this variable for analysis.
isComparedWith,EDUCATION,MARITAL_STATUS,IIEDUHIGHST2,Comparability of education indicator with marital status across different years.
associatedWith,AgeCategory,MaritalStatus,CATAGE,Age category is associated with the marital status of the respondent.
recordedIn,MaritalStatus,SurveyPeriod,CATAGE,Marital status data is recorded within specific survey periods from 2002 to 2016 (excluding 2015).
categorizedBy,Respondent,AgeCategory,CATAGE,The respondent is categorized by their age.
hasAgeCategory,Respondent,AgeCategory,CATAG2,Links the respondent to their age category recode with 3 levels.
hasMaritalStatus,Respondent,MaritalStatus,CATAG2,Links the respondent to their marital status.
hasSurveyYear,Survey,SurveyYear,CATAG2,Associates the survey to the year it was conducted.
affectsDataComparability,SurveyMethod,MaritalStatus,CATAG3,Indicates that the method of survey administration influences the comparability of marital status data.
hasAgeCategory,SurveyRespondent,AgeCategoryRecode,CATAG3,Links the survey respondent to their recoded age category.
hasMaritalStatus,SurveyRespondent,MaritalStatus,CATAG3,Links the survey respondent to their marital status.
belongsToSurveyYear,MaritalStatus,SurveyYear,CATAG3,Links marital status data to the specific survey year.
isComparedTo,Marital Status,Marital Status (2002-2014),CATAG6,The 2016 onward interviewer-administered marital status variable is considered comparable with 2002-2014 interviewer-administered data.
isNotComparableTo,Marital Status,Marital Status (2015),CATAG6,"Due to the change in administration method, marital status data from 2015 is not considered comparable with other years."
hasAgeCategory,Respondent,RC-AGE CATEGORY,CATAG6,"Age category of the respondent, divided into six levels."
isCategorizedBy,Respondent,AgeCategory,CATAG7,Categorizes respondents by age into 7 levels.
hasAdministrationMode,Survey,AdministrationMode,,Indicates whether the survey questions were self-administered or interviewer-administered.
hasMaritalStatus,Respondent,MaritalStatus,,Captures the marital status of the respondent.
hasSurveyYear,Survey,SurveyYear,,The specific year the survey data was collected.
isComparableWith,MaritalStatus,MaritalStatus,,Marital status data from 2015 is generally not comparable with other years.
hasPregnancyAgeCategory,Respondent,PregnancyAgeCategoryRecode,PREGAGE2,Links an individual respondent to the categorizations of their age at pregnancy.
isAccompaniedBy,MaritalStatusQuestion,PregnancyAgeCategoryRecode,PREGAGE2,Marital status question is accompanied by the Pregnancy Age Category Recode variable.
hasDataCollectionMethod,SurveyPeriod2015,MaritalStatusQuestion,PREGAGE2,Marital status question was self-administered during the 2015 survey period.
hasDataCollectionMethod,SurveyPeriod2002to2014,MaritalStatusQuestion,PREGAGE2,Marital status question was interviewer-administered during the survey period from 2002 to 2014.
hasDataCollectionMethod,SurveyPeriod2016,MaritalStatusQuestion,PREGAGE2,Marital status question was interviewer-administered during the 2016 survey period.
isComparableWith,MaritalStatusQuestion,SurveyPeriod2002to2014,PREGAGE2,Marital status question is comparable with the same questions from the period of 2002 to 2014.
isComparableWith,MaritalStatusQuestion,SurveyPeriod2016,PREGAGE2,Marital status question is comparable with the same questions from the 2016 survey period.
isReflectedIn,Variable,MaritalStatus,DRVINAGE,The variable reflects the changes in how marital status questions were administered.
mayAffectComparability,SurveyAdministrationMethod,MaritalStatus,DRVINAGE,Administration method changes may affect the comparability of marital status data over different years.
belongsTo,Variable,Survey,DRVINAGE,This variable belongs to the NSDUH survey dataset.
isCategorizedBy,Question,Variable,DRVINDETAG,The question is categorized by detailed age categories for DUI incidents
hasComparison,Question,Marital Status,DRVINDETAG,The marital status question comparison across different survey periods
hasSurveyPeriod,Marital Status,Time Period,DRVINDETAG,The marital status data is compared based on the survey year
classifiedBy,Respondent,Gender,SEXAGE,Classifies the respondent by gender
classifiedBy,Respondent,Age,SEXAGE,Classifies the respondent by age category
appliedIn,Gender,SurveyPeriod,SEXAGE,Indicates the gender data is applied in a specific survey period
appliedIn,Age,SurveyPeriod,SEXAGE,Indicates the age data is applied in a specific survey period
comparedWith,MaritalStatus,SurveyPeriod,NEWRACE2,This entity can be compared with corresponding variables in 2002 to 2014 and should be considered before pooling or comparing with 2015 data.
hasSurveyMethod,SurveyPeriod,DataCollectionMethod,NEWRACE2,Reflects the change in survey from self-administration in 2015 to interviewer administration in 2016.
isCategorizedBy,Gender,Race,SEXRACE,The gender categories are broken down by race.
hasSurveyPeriod,Marital Status,Survey Period,SEXRACE,Reflects the survey period for the marital status question.
hasQuestionFormatChange,Survey,MaritalStatusComparability,EDUHIGHCAT,Relates the survey to the changes in administration format impacting the comparability of marital status data.
isRelatedTo,EducationCategory,MaritalStatusComparability,EDUHIGHCAT,Indicates that the educational category variable reflects changes in marital status question administration which may affect data comparability across different years.
hasSurveyMethod,OverallHealthIndicator,SurveyMethod,HEALTH2,Indicates the mode of administration for the marital status questions in the survey
hasMaritalStatusVariable,OverallHealthIndicator,MaritalStatusVariable,HEALTH2,Links the overall health recode to the marital status variable
isComparableWith,MaritalStatusVariable,SurveyYear,HEALTH2,Indicates the years with which the marital status variable is comparable
hasEnrollmentStatus,SurveyRespondent,SchoolEnrollmentStatus,EDUSCHLGO,Indicates whether the survey respondent is currently enrolled in school.
enrolledIn,SurveyRespondent,SchoolType,EDUSCHLGO,"Defines the type of school the respondent is enrolled in, if applicable."
attendsGrade,Respondent,GradeLevel,EDUSCHGRD2,Indicates the grade level or academic year the respondent is currently attending or will be attending after their vacation.
hasStudentStatus,Respondent,StudentStatus,EDUFULPAR,"Relates the respondent to their student status, indicating whether they are full-time or part-time."
hasReason,DaysMissedSchool,Reason,EDUSCKEST,Links the days missed from school to the reason such as sickness or injury.
hasSurveyPeriod,DaysMissedSchool,SurveyPeriod,EDUSCKEST,Relates the number of days missed from school due to sickness or injury to the time period of the past 30 days.
combinesDataFrom,SchoolAbsenteeism,SchoolAbsenteeismMonth,EDUSCKCOM,Combines data from the valid number of days missed school in the month
combinesDataFrom,SchoolAbsenteeism,SchoolAbsenteeismEstimate,EDUSCKCOM,Combines data from the estimated number of days missed school
respondsTo,Respondent,SurveyQuestion,EDUSCKCOM,The respondent answers the survey question
occursDuring,SchoolAttendance,DateRange,EDUSKPMON,Relates the frequency of school absence to the specified 30-day period.
hasReason,SchoolAttendance,PersonalReason,EDUSKPMON,"Relates the occurrence of missed school days to specific personal reasons such as skipping, cutting, or not wanting to attend."
hasAttendanceRecord,Respondent,SchoolAttendance,EDUSKPEST,Relates the respondent to their record of school attendance.
hasSurveyPeriod,Survey,SurveyPeriod,EDUSKPEST,Relates the survey to the time period of the past 30 days.
describesPeriodFor,SchoolAttendance,SurveyPeriod,EDUSKPEST,Specifies the time period for the school attendance record as the past 30 days.
hasNumberOfDaysMissed,Respondent,SchoolDaysMissed,,Indicates the number of days a respondent missed school from skipping.
combinesResponsesFrom,SchoolDaysMissed,EDUSKPMON,,Combines responses from valid number of days missed school.
combinesResponsesFrom,SchoolDaysMissed,EDUSKPEST,,Combines responses from an estimated range of days missed due to 'don't know' or 'refused' answers.
partOf,SchoolDaysMissed,SchoolAttendance,,Places the number of days missed from school within the larger context of school attendance.
includes,ImmediateFamily,FamilyMember,MILTFAMLY,"Immediate family includes specific family members such as spouse, partner, parents, and siblings."
hasMilitaryStatus,FamilyMember,MilitaryStatus,MILTFAMLY,Each family member has an associated status indicating whether they are currently serving in the US military.
consideredFor,MilitaryStatus,SurveyResponse,MILTFAMLY,The military status of family members is considered when the respondent answers the survey question.
hasMilitaryStatus,FamilyMember,MilitaryService,MILTSPPAR,Indicates whether a family member is currently serving in the United States military.
isSpouseOf,Spouse,Respondent,MILTSPPAR,Relates the spouse to the respondent.
isPartnerOf,UnmarriedPartner,Respondent,MILTSPPAR,Relates the unmarried partner to the respondent.
isParentOf,Parent,Respondent,MILTSPPAR,Relates the parent (mother/father) to the respondent.
isChildOf,Child,Respondent,MILTSPPAR,Relates the child (son/daughter) to the respondent.
isSiblingOf,Sibling,Respondent,MILTSPPAR,Relates the sibling (brother/sister) to the respondent.
isFamilyMemberOf,FamilyMember,Respondent,MILTPARNT,Identifies the relationship between the respondent and their family members.
participatesIn,FamilyMember,MilitaryService,MILTPARNT,Indicates whether family members participate in military service.
hasFamilyMember,Respondent,FamilyMember,MILTCHLDR,"Relates the respondent to their family members including spouse, unmarried partner, parents, and siblings."
isServingInMilitary,FamilyMember,MilitaryService,MILTCHLDR,Indicates whether family members are currently serving in the United States military.
hasFamilyMemberInMilitary,FamilyMember,MilitaryService,MILTSIBLN,Relates a family member to their current military service status.
hasCollegeEnrollmentStatus,FamilyMember,CollegeEnrollment,ENRLCOLLFT2,Relates family members to their college enrollment status.
isEnlistedIn,FamilyMember,MilitaryService,ENRLCOLLFT2,Indicates whether family members are currently serving in the United States military.
hasFamilyMember,Respondent,FamilyMemberSpouse,ENRLCOLLST2,The respondent has a spouse as a family member.
hasFamilyMember,Respondent,FamilyMemberUnmarriedPartner,ENRLCOLLST2,The respondent has an unmarried partner as a family member.
hasFamilyMember,Respondent,FamilyMemberMother,ENRLCOLLST2,The respondent has a mother as a family member.
hasFamilyMember,Respondent,FamilyMemberFather,ENRLCOLLST2,The respondent has a father as a family member.
hasFamilyMember,Respondent,FamilyMemberSon,ENRLCOLLST2,The respondent has a son or sons as a family member.
hasFamilyMember,Respondent,FamilyMemberDaughter,ENRLCOLLST2,The respondent has a daughter or daughters as a family member.
hasFamilyMember,Respondent,FamilyMemberBrother,ENRLCOLLST2,The respondent has a brother or brothers as a family member.
hasFamilyMember,Respondent,FamilyMemberSister,ENRLCOLLST2,The respondent has a sister or sisters as a family member.
servesInMilitary,FamilyMember,MilitaryService,ENRLCOLLST2,The family member currently serves in the U.S. military.
hasHoursWorked,WorkSituation,Worked35MoreHoursPastWeek,WRK35WKUS,Relates work situation to whether the respondent worked 35 hours or more in the past week.
includesWorkStatus,WorkSituation,WorkedLastWeek,WRKDPSTWK,Indicates whether the respondent worked during the past week as part of their work situation.
includesAnnualWorkStatus,WorkSituation,WorkedPastYear,WRKDPSTYR,Indicates whether the respondent worked at any time in the past year as part of their work situation.
includesJobSearchEffort,WorkSituation,MadeEffortToFindWork,WRKEFFORT,Relates work situation to the respondent's effort to find work if not currently employed.
hasJobReason,WorkSituation,ReasonForJob,WRKRSNJOB,Indicates the reason for having a job as part of the work situation.
hasReasonForNotWorking,WorkSituation,ReasonForNotWorking,WRKRSNNOT,Indicates the reason for not working as part of the work situation.
hasWorkStatus,Respondent,WorkStatus,WRKDPSTWK,Indicates whether the respondent worked at a job or business at any time last week.
isWithin,WorkStatus,SurveyPeriod,WRKDPSTWK,The work status is considered within the specified survey period.
hasEmploymentStatus,Respondent,EmploymentStatus,WRKHADJOB,"Indicates whether the respondent had a job or business, even if they didn't work last week."
measures,WorkHoursLastWeek,Employment,WRKDHRSWK2,The number of hours worked last week is a measurement of the respondent's employment status and work activity.
worksUsualHoursPerWeek,Respondent,WorkHours,WRK35WKUS,Relates the respondent to the usual number of hours worked per week.
determinesEmploymentStatus,WorkHours,EmploymentStatus,WRK35WKUS,Work hours determine the respondent's employment status.
ReasonForNonEmployment,Respondent,ReasonForNotWorking,WRKRSNNOT,Links the respondent to their reason for not working in the past week.
hasTimePeriod,ReasonForNotWorking,TimePeriod,WRKRSNNOT,Relates the reason for not working to the past week's time period.
hasReasonForNotWorking,Respondent,ReasonForNotWorking,WRKRSNJOB,Indicates the reason why a respondent did not have a job or business in the past week.
hasEmploymentStatus,Respondent,EmploymentStatus,WRKRSNJOB,Indicates the employment status of the respondent in the past week.
hasEffort,SurveyRespondent,EffortToFindWork,WRKEFFORT,Respondent's effort to find work in the past 30 days.
includes,EffortToFindWork,JobContacts,WRKEFFORT,Effort to find work includes making contacts about a job.
includes,EffortToFindWork,ResumeSent,WRKEFFORT,Effort to find work includes sending out resumes or job applications.
includes,EffortToFindWork,AdsInteraction,WRKEFFORT,Effort to find work includes placing or answering ads.
hasExclusion,EffortToFindWork,WorkSearchExclusion,WRKEFFORT,Effort to find work excludes just reading job ads.
hasSurveyPeriod,EffortToFindWork,SurveyPeriod,WRKEFFORT,The effort to find work is within the past 30 days.
hasEmploymentStatus,Respondent,Employment,WRKDPSTYR,Relates the respondent to their employment status in the past 12 months.
hasSurveyPeriod,Survey,SurveyPeriod,WRKDPSTYR,Relates the survey to the time period of the past 12 months.
referenceDate,SurveyPeriod,Date,WRKDPSTYR,Specifies the period from a past date (DATEFILL) to today.
isEmployedAt,Respondent,Job,WRKDPSTYR,Connects the respondent to the job or business they worked at during the past 12 months.
hasEmploymentStatus,Respondent,EmploymentStatus,WRKSELFEM,Relates the respondent to their self-employment status in the past 12 months.
hasTimePeriod,EmploymentStatus,TimePeriod,WRKSELFEM,Relates the employment status to the specific time period of the past 12 months.
hasEmploymentStatus,Respondent,EmploymentStatus,WRKNUMJOB2,Relates the respondent to their employment status over the past 12 months.
countedBy,EmploymentStatus,EmployerCount,WRKNUMJOB2,The employment status is detailed by the number of different employers the respondent had in the past 12 months.
withinPeriod,EmployerCount,TimePeriod,WRKNUMJOB2,The number of different employers is constrained within the past 12 months period.
hasEmploymentStatus,Respondent,EmploymentStatus,WRKNJBPYR,Relates the respondent to their employment status during the past 12 months.
hasSurveyPeriod,EmploymentStatus,TimePeriod,WRKNJBPYR,Links the employment status to the specific time period of the past 12 months.
hasSurveyPeriod,Survey,SurveyPeriod,WRKNJBWKS,Relates the survey to the time period of the past 12 months.
measures,Survey,Job,WRKNJBWKS,The survey is measuring the employment status of the respondent.
quantifies,Job,WeeksWithoutJob,WRKNJBWKS,Quantifies the duration in weeks that the respondent did not have a job or business.
hasWorkHistory,Respondent,YearLastWorked,WRKLASTYR2,Relates the respondent to the year in which they last worked at a job or business.
missedDueTo,DaysMissedWork,SicknessOrInjury,WRKSICKMO,"Relates the number of days missed to the reason for missing, such as sickness or injury."
experiencedBy,DaysMissedWork,Respondent,WRKSICKMO,Links the number of days missed from work to the respondent.
hasSurveyPeriod,Survey,SurveyPeriod,WRKSICKMO,Relates the survey to the time period of the past 30 days.
impactOnWorkStatus,SicknessOrInjury,WorkStatus,WRKSICKMO,"Indicates how sickness or injury affects the work status (i.e., days missed) of the respondent."
counts,Survey,WorkAbsenceDays,WRKSKIPMO,Counts the number of whole days missed from work in the past 30 days because the respondent didn't want to be there.
withinPeriod,WorkAbsenceDays,SurveyPeriod,WRKSKIPMO,The days missed from work are within the past 30 days from the specified date to today.
dueTo,WorkAbsenceDays,PersonalChoiceAbsence,WRKSKIPMO,"The reason for missing work is due to personal choice, not including planned vacations or family sickness."
hasWrittenPolicy,Workplace,WrittenPolicy,WRKDRGPOL,Determines if the workplace has a formal written policy about the use of alcohol or drugs by employees.
covers,WrittenPolicy,AlcoholUse,WRKDRGPOL,Specifies that the written policy includes rules about employee use of alcohol.
covers,WrittenPolicy,DrugUse,WRKDRGPOL,Specifies that the written policy includes rules about employee use of drugs.
covers,Policy,Alcohol,WRKDRGALB,Indicates that the policy includes regulations or guidelines for alcohol.
covers,Policy,Drugs,WRKDRGALB,Indicates that the policy includes regulations or guidelines for drugs.
coversBoth,Policy,"Alcohol, Drugs",WRKDRGALB,Indicates that the policy includes regulations or guidelines for both alcohol and drugs simultaneously.
providesEducationOn,Workplace,WorkplaceEducation,WRKDRGEDU,Relates the workplace to the educational information given regarding alcohol and drugs.
relatedTo,WorkplaceEducation,Alcohol,WRKDRGEDU,Indicates the educational information is related to the use of alcohol.
relatedTo,WorkplaceEducation,Drugs,WRKDRGEDU,Indicates the educational information is related to the use of drugs.
typeOf,WorkplaceEducation,Education,WRKDRGEDU,Classifies workplace education as a type of education.
offersAssistance,Workplace,WorkplaceAssistanceProgram,WRKDRGHLP,Relates the workplace to the offering of an employee assistance or counseling program.
targetedByProgram,WorkplaceAssistanceProgram,Employee,WRKDRGHLP,Indicates that the assistance program is available to employees.
addresses,WorkplaceAssistanceProgram,AlcoholDrugRelatedProblems,WRKDRGHLP,Indicates that the assistance program addresses alcohol or drug-related problems.
conducts,Workplace,Alcohol Usage Test,WRKTSTALC,Indicates that the workplace conducts tests for alcohol use.
isSubjectTo,Employee,Alcohol Usage Test,WRKTSTALC,Indicates that the employee is subject to alcohol usage tests conducted at the workplace.
conducts,Workplace,DrugUseTest,WRKTSTDRG,The relationship indicating that the workplace conducts drug use tests on its employees.
undergoes,Employee,DrugUseTest,WRKTSTDRG,The relationship indicating that employees may undergo drug use tests.
partOf,DrugTest,HiringProcess,WRKTSTHIR,Indicates that the drug test is part of the hiring process.
partOf,AlcoholTest,HiringProcess,WRKTSTHIR,Indicates that the alcohol test is part of the hiring process.
conductedBy,Workplace,DrugTest,WRKTSTHIR,Indicates that the workplace conducts the drug test.
conductedBy,Workplace,AlcoholTest,WRKTSTHIR,Indicates that the workplace conducts the alcohol test.
testsFor,Workplace,DrugUse,WRKTSTRDM,Indicates that a workplace tests its employees for drug use
testsFor,Workplace,AlcoholUse,WRKTSTRDM,Indicates that a workplace tests its employees for alcohol use
employs,Workplace,Employee,WRKTSTRDM,A workplace employs an individual
subjectToTesting,Employee,WorkplaceDrugTesting,WRKTSTRDM,An employee is subject to random drug or alcohol testing at the workplace
affects,EmployerDrugTesting,JobApplicantPreference,WRKOKPREH,Indicates that the practice of pre-hire drug testing by an employer influences the job applicant's preference to work for that employer.
hasPreference,Respondent,WorkPreference,WRKOKRAND,Relates the respondent's work preference to the presence of random drug/alcohol testing by an employer.
conducts,Employer,DrugTest,WRKOKRAND,Relates the employer to the action of conducting random drug or alcohol tests.
isAffectedBy,WorkPreference,DrugTest,WRKOKRAND,Relates the respondent's work preference to the employer's action of random drug/alcohol testing.
isRevisedFrom,EmploymentStatus,PreviousEmploymentStatusVariable,IRWRKSTAT,EMPLOYMENT STATUS - IMPUTATION REVISED replaces EMPSTATY used from 2001 to 2014.
isCapturedBy,EmploymentStatus,Self-AdministeredSurvey,IRWRKSTAT,Employment status is now captured through self-administered surveys via ACASI.
replaces,EmploymentStatusImputationIndicator,EMPSTATY,IIWRKSTAT,The new employment status imputation indicator replaces the previously used EMPSTATY.
uses,EmploymentQuestions,ACASI,IIWRKSTAT,Employment questions are self-administered through the ACASI system.
reflectBreakInComparability,EmploymentVariables,EmploymentStatusImputationIndicator,IIWRKSTAT,Changes in the names of employment variables reflect a break in comparability due to the transition to ACASI.
replaces,II2WRKSTAT,EMPSTATY,II2WRKSTAT,II2WRKSTAT replaces the previously used EMPSTATY variable for employment status imputation.
isAdministeredBy,EmploymentQuestions,SurveyMethod,II2WRKSTAT,Employment questions moved from interviewer-administered to self-administered through ACASI in 2015.
isRecodeOf,EmploymentStatus,EmploymentStatusSurvey,IRWRKSTAT18,Employment status data is a recode of the initial employment status survey responses (IRWRKSTAT).
excludedIf,EmploymentStatus,AgeGroup,IRWRKSTAT18,Respondents aged 12-17 are excluded from the employment status questions.
hasEmploymentStatusIndicator,Respondent,EmploymentStatusIndicator,IIWRKSTAT18,Indicates the employment status of the respondent aged 18 and older.
ageGroupCategory,EmploymentStatusIndicator,AgeGroup,IIWRKSTAT18,Categorization of respondents into age groups for the employment status imputation.
basedOnData,EmploymentStatusIndicator,EmploymentStatus,IIWRKSTAT18,Indicates that the employment status indicator is derived by imputing self-reported employment data.
relatesToAgeGroup,EmploymentStatus,AgeGroup,II2WRKST18,Employment status for respondents is categorized based on their age group.
requiresImputation,EmploymentStatus,ImputationIndicator,II2WRKST18,Employment status data may require imputation indicated by the imputation indicator.
hasFamilyMember,Household,FamilyMemberInHouseholdOver18,EDFAM18,Indicates that the household has family members who are aged 18 or older.
