id,relation_name,relation_description,relation_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
37,servedDuring,Indicates the respondent's period of active duty service in the military.,"[-0.04540915 -0.01823837  0.02580656 ...  0.03426799  0.00121197
 -0.00663841]","[-0.01301851  0.06095725  0.04975112 ...  0.00727505  0.02255265
  0.01090619]","[-0.04540915 -0.01823837  0.02580656 ...  0.00727505  0.02255265
  0.01090619]",0,32,DBSCAN_0_AGG_32
38,correspondsTo,Associates the specific active duty service period with the Vietnam War era.,"[-0.03194166  0.00035995  0.04919717 ...  0.04435045 -0.02013142
  0.02966429]","[-0.03463278  0.0262749   0.04209608 ...  0.0143643   0.00472527
  0.01146332]","[-0.03194166  0.00035995  0.04919717 ...  0.0143643   0.00472527
  0.01146332]",-1,32,DBSCAN_-1_AGG_32
39,servedDuring,Indicates that the respondent served on active duty in the specified period.,"[-0.0454237  -0.01824421  0.02584732 ...  0.03431147  0.00121642
 -0.00664866]","[-0.03448292  0.04938062  0.0318967  ...  0.00585603  0.02591607
  0.00127459]","[-0.0454237  -0.01824421  0.02584732 ...  0.00585603  0.02591607
  0.00127459]",0,32,DBSCAN_0_AGG_32
40,servicePeriod,Relates the respondent's active duty service to the time period before the Vietnam era (March 1961).,"[-0.05184546  0.00791458  0.05083876 ...  0.00976242 -0.00638796
  0.00462953]","[-3.01387925e-02  2.70020571e-02  1.80492941e-02 ...  9.75655206e-03
  2.86227036e-02  8.98543803e-05]","[-5.18454649e-02  7.91457947e-03  5.08387573e-02 ...  9.75655206e-03
  2.86227036e-02  8.98543803e-05]",0,32,DBSCAN_0_AGG_32
41,hasServedOn,Indicates the respondent served in a combat zone.,"[-0.00336398 -0.02049763  0.04245163 ...  0.00887766 -0.02968515
 -0.02068355]","[-0.02067667  0.04744843  0.03272104 ... -0.0230243   0.02831741
 -0.021362  ]","[-0.00336398 -0.02049763  0.04245163 ... -0.0230243   0.02831741
 -0.021362  ]",0,32,DBSCAN_0_AGG_32
42,earnedImminentDangerPay,Indicates the respondent received imminent danger pay.,"[-0.02354282 -0.00080892  0.00497796 ... -0.02698975  0.01674937
 -0.01327735]","[-0.01068564  0.03058144  0.01206018 ... -0.01604399  0.03187055
 -0.02961849]","[-0.02354282 -0.00080892  0.00497796 ... -0.01604399  0.03187055
 -0.02961849]",-1,32,DBSCAN_-1_AGG_32
43,earnedHostileFirePay,Indicates the respondent received hostile fire pay.,"[-0.01073668 -0.04111164 -0.0037497  ... -0.05694657 -0.01601252
  0.02218371]","[ 0.00782449  0.00368783  0.01738444 ... -0.0281562   0.00171675
 -0.00729712]","[-0.01073668 -0.04111164 -0.0037497  ... -0.0281562   0.00171675
 -0.00729712]",-1,32,DBSCAN_-1_AGG_32
44,hadActiveDuty,Indicates the respondent served on active duty.,"[-0.0072498   0.02038203 -0.0037632  ...  0.03044839 -0.01362698
  0.0246205 ]","[-0.01638036  0.05015256  0.01126676 ...  0.01017099  0.01550936
 -0.00409509]","[-0.0072498   0.02038203 -0.0037632  ...  0.01017099  0.01550936
 -0.00409509]",0,32,DBSCAN_0_AGG_32
45,hasOverallHealth,Describes the relationship between the individual and their self-reported overall health.,"[ 0.01604096 -0.00590652  0.05642802 ...  0.01044002 -0.0204112
  0.03099355]","[ 0.00633689 -0.00713964  0.05526836 ... -0.00304225 -0.04252161
  0.01949718]","[ 0.01604096 -0.00590652  0.05642802 ... -0.00304225 -0.04252161
  0.01949718]",0,23,DBSCAN_0_AGG_23
46,hasHealthStatus,"Connects the overall health assessment to a specific health status category (excellent, very good, good, fair, or poor).","[-0.05214597 -0.02083096  0.02535678 ...  0.0127622  -0.04029045
  0.04870208]","[-0.02392499 -0.01375321  0.03744675 ...  0.01149959 -0.03956638
  0.02857842]","[-0.05214597 -0.02083096  0.02535678 ...  0.01149959 -0.03956638
  0.02857842]",0,23,DBSCAN_0_AGG_23
47,hasTimePeriod,Associates the number of times moved with the past 12 months period.,"[-5.19248545e-02 -3.63815599e-03  7.48811066e-02 ...  1.77364368e-02
  5.47431468e-04  9.43166306e-05]","[-0.03443464  0.02916849  0.072089   ... -0.04581281 -0.02549855
  0.0348985 ]","[-0.05192485 -0.00363816  0.07488111 ... -0.04581281 -0.02549855
  0.0348985 ]",0,13,DBSCAN_0_AGG_13
48,involvesMove,Indicates that the count involves instances of moving.,"[-0.01507204  0.05017192 -0.00017588 ... -0.00311747 -0.03599162
  0.0020777 ]","[ 0.0023281   0.07005417  0.02613728 ... -0.0308013  -0.02296011
  0.0293301 ]","[-0.01507204  0.05017192 -0.00017588 ... -0.0308013  -0.02296011
  0.0293301 ]",-1,11,DBSCAN_-1_AGG_11
49,fromLocation,Indicates the location from which the respondent moved.,"[-0.06129116  0.03615737  0.03698415 ... -0.00979033 -0.00919092
  0.00152694]","[-0.00981279  0.02343532  0.04829259 ... -0.02289874  0.00114024
 -0.00047873]","[-0.06129116  0.03615737  0.03698415 ... -0.02289874  0.00114024
 -0.00047873]",0,38,DBSCAN_0_AGG_38
50,toLocation,Indicates the location to which the respondent moved.,"[-0.03521886  0.03476734  0.01589364 ... -0.00169604 -0.00921109
  0.01231908]","[-0.00106356  0.02875645  0.04580029 ... -0.02129808  0.00614911
 -0.00105178]","[-0.03521886  0.03476734  0.01589364 ... -0.02129808  0.00614911
 -0.00105178]",0,38,DBSCAN_0_AGG_38
51,feelsSexualAttractionTowards,Relates a person's feelings to their sexual attraction towards others.,"[ 0.00325498 -0.01392646 -0.00911537 ...  0.03332071 -0.02561155
  0.00239127]","[ 0.02025881 -0.03320085 -0.00225371 ...  0.00809041 -0.02798207
  0.00974914]","[ 0.00325498 -0.01392646 -0.00911537 ...  0.00809041 -0.02798207
  0.00974914]",-1,8,DBSCAN_-1_AGG_8
52,hasSexualIdentity,Indicates the sexual identity of the respondent as self-reported in the survey.,"[ 0.03198715 -0.0222133   0.01243945 ...  0.03204843 -0.04010649
  0.02687043]","[ 0.04123905 -0.00026409  0.00978952 ...  0.0031881  -0.01511253
  0.00938347]","[ 0.03198715 -0.0222133   0.01243945 ...  0.0031881  -0.01511253
  0.00938347]",0,32,DBSCAN_0_AGG_32
53,measures,The respondent's ability to speak English is assessed,"[ 0.01153774 -0.01498522  0.06530523 ... -0.0325943  -0.01868779
 -0.03166137]","[ 0.01712451  0.04421761  0.04471473 ... -0.01454733  0.00319531
 -0.01174121]","[ 0.01153774 -0.01498522  0.06530523 ... -0.01454733  0.00319531
 -0.01174121]",0,19,DBSCAN_0_AGG_19
54,isExperiencedBy,Indicates that difficulty in seeing is experienced by the respondent.,"[-0.00722743  0.01019916 -0.00838221 ... -0.02228795 -0.04157187
  0.01242796]","[ 0.00703196  0.02173173  0.02451592 ...  0.01188924 -0.00154635
  0.00775058]","[-0.00722743  0.01019916 -0.00838221 ...  0.01188924 -0.00154635
  0.00775058]",0,8,DBSCAN_0_AGG_8
55,classifiedAs,Classifies the level of difficulty in seeing as a kind of vision impairment.,"[-0.02737297  0.00626891  0.01050323 ... -0.00176524 -0.00344227
 -0.00508645]","[ 0.0095863   0.0240036   0.01980328 ...  0.01552729 -0.01826443
  0.00918267]","[-0.02737297  0.00626891  0.01050323 ...  0.01552729 -0.01826443
  0.00918267]",0,25,DBSCAN_0_AGG_25
56,hasDifficulty,Indicates the respondent has difficulty hearing even when using hearing aids,"[ 0.00139349 -0.02235965  0.07144881 ... -0.01677771 -0.02548554
  0.01250354]","[ 0.00369848 -0.00173703  0.01183076 ... -0.00291572 -0.01497639
 -0.00294309]","[ 0.00139349 -0.02235965  0.07144881 ... -0.00291572 -0.01497639
 -0.00294309]",0,24,DBSCAN_0_AGG_24
57,hasDifficulty,Relates the respondent to their level of difficulty in walking or climbing steps.,"[ 0.00139349 -0.02235965  0.07144881 ... -0.01677771 -0.02548554
  0.01250354]","[ 0.00562874 -0.00757371  0.03029483 ... -0.00555314 -0.04010904
  0.01439142]","[ 0.00139349 -0.02235965  0.07144881 ... -0.00555314 -0.04010904
  0.01439142]",0,24,DBSCAN_0_AGG_24
58,isMeasuredBy,Level of difficulty remembering or concentrating is a measure of mental health issues.,"[-0.01765596  0.00199563  0.03424557 ... -0.02734466 -0.02225657
  0.01905747]","[ 0.01666549 -0.00489014  0.05618939 ... -0.0154697  -0.022871
  0.0185284 ]","[-0.01765596  0.00199563  0.03424557 ... -0.0154697  -0.022871
  0.0185284 ]",0,19,DBSCAN_0_AGG_19
59,hasDifficultyWith,Indicates whether the respondent has difficulty with self-care tasks.,"[ 0.01133735  0.00085245  0.08950868 ... -0.0147824  -0.02654255
  0.01408556]","[ 0.0230147   0.02968563  0.03771854 ... -0.00106665 -0.02408483
  0.00522903]","[ 0.01133735  0.00085245  0.08950868 ... -0.00106665 -0.02408483
  0.00522903]",0,24,DBSCAN_0_AGG_24
60,measures,The survey measures the level of difficulty in self-care experienced by the respondent.,"[ 0.01150785 -0.01502799  0.06524274 ... -0.03259222 -0.01867202
 -0.0316885 ]","[ 0.04474514  0.02364847  0.04641266 ... -0.01750897 -0.04181435
 -0.00263392]","[ 0.01150785 -0.01502799  0.06524274 ... -0.01750897 -0.04181435
 -0.00263392]",0,19,DBSCAN_0_AGG_19
61,hasDifficultyCommunicating,Indicates whether the respondent has difficulty communicating.,"[ 0.01740707 -0.03023422  0.05019319 ... -0.00483764 -0.0251473
  0.01620716]","[ 0.0194593   0.00656072  0.03172712 ... -0.00106324 -0.01865857
  0.0163017 ]","[ 0.01740707 -0.03023422  0.05019319 ... -0.00106324 -0.01865857
  0.0163017 ]",0,24,DBSCAN_0_AGG_24
62,usesLanguage,Indicates the usual language spoken by the respondent.,"[-0.05491712 -0.00395634 -0.01013601 ... -0.00838429 -0.03796887
  0.02230821]","[ 0.01915948  0.03269649  0.03576099 ... -0.03082233 -0.01433479
  0.02255323]","[-0.05491712 -0.00395634 -0.01013601 ... -0.03082233 -0.01433479
  0.02255323]",-1,32,DBSCAN_-1_AGG_32
63,hasGender,The survey collects data on the gender of the respondent.,"[-0.00396993  0.02336522  0.02715418 ... -0.01417008 -0.01470145
  0.02433557]","[ 0.01934064  0.0329005   0.03166346 ... -0.01620046 -0.01373828
  0.00644093]","[-0.00396993  0.02336522  0.02715418 ... -0.01620046 -0.01373828
  0.00644093]",0,32,DBSCAN_0_AGG_32
64,requiresImputation,Gender data imputation for missing values is no longer required starting from the 2002 survey.,"[-0.00428472 -0.00282321  0.01147651 ... -0.0070041  -0.02472601
  0.0168993 ]","[ 0.0337081   0.03039056  0.05884387 ... -0.02245996  0.00358088
  0.00958937]","[-0.00428472 -0.00282321  0.01147651 ... -0.02245996  0.00358088
  0.00958937]",0,1,DBSCAN_0_AGG_1
65,isConsistentWith,"The prefix 'IR' is used to maintain consistency with earlier surveys, despite the lack of need for imputation.","[-0.00960208  0.02847563  0.0120923  ... -0.00429104 -0.03272447
  0.04130655]","[ 0.02163712  0.03947671  0.03464884 ... -0.00985446  0.00503026
 -0.00050965]","[-0.00960208  0.02847563  0.0120923  ... -0.00985446  0.00503026
 -0.00050965]",-1,4,DBSCAN_-1_AGG_4
66,hasAdministrationMethod,Relates the marital status data to the method by which the question was administered.,"[-0.0606224   0.0202559   0.04583007 ... -0.02247911 -0.02372876
 -0.02041574]","[-0.02925003  0.04561707  0.03994533 ... -0.01486809 -0.03292316
  0.04099865]","[-0.0606224   0.0202559   0.04583007 ... -0.01486809 -0.03292316
  0.04099865]",-1,4,DBSCAN_-1_AGG_4
67,isComparableWith,Indicates whether the marital status data is comparable across different survey periods.,"[-0.02372249 -0.01653678 -0.02485345 ...  0.01209571 -0.01286807
  0.02373628]","[-0.01316431  0.01678271  0.0113075  ...  0.01048622 -0.02799499
  0.02112717]","[-0.02372249 -0.01653678 -0.02485345 ...  0.01048622 -0.02799499
  0.02112717]",0,4,DBSCAN_0_AGG_4
68,hasImputationIndicator,Indicates whether the marital status was self-administered or interviewer-administered.,"[ 0.008736    0.01025289  0.01095971 ...  0.00958577 -0.03090956
  0.00221775]","[-0.00471969  0.05371323  0.01701515 ... -0.01289858 -0.033775
  0.01453882]","[ 0.008736    0.01025289  0.01095971 ... -0.01289858 -0.033775
  0.01453882]",0,1,DBSCAN_0_AGG_1
69,includedIn,Marital status information is included in the survey.,"[-0.01510635  0.00342711  0.05193539 ... -0.0091853  -0.02473811
  0.02131283]","[ 0.01842509  0.05808073  0.00304715 ... -0.00823948 -0.01496249
  0.02954585]","[-0.01510635  0.00342711  0.05193539 ... -0.00823948 -0.01496249
  0.02954585]",0,11,DBSCAN_0_AGG_11
70,surveyPeriod,"Relates the survey to specific years, detailing changes in administration methods.","[-0.02209743 -0.02112485  0.05838298 ... -0.02440014 -0.00840274
 -0.01570419]","[-0.02314231  0.0387138   0.06655667 ... -0.04120967 -0.01184154
 -0.01945396]","[-0.02209743 -0.02112485  0.05838298 ... -0.04120967 -0.01184154
 -0.01945396]",0,13,DBSCAN_0_AGG_13
71,comparableWith,Specifies which survey years have comparable data for marital status.,"[-0.0150919  -0.02286775 -0.02064994 ...  0.02596456  0.00012805
  0.00799222]","[-0.00496479  0.02453397  0.02582276 ... -0.00198592 -0.01632083
  0.02352636]","[-0.0150919  -0.02286775 -0.02064994 ... -0.00198592 -0.01632083
  0.02352636]",0,4,DBSCAN_0_AGG_4
72,isReflectedIn,The VARIABLE reflects the marital status questions based on how they were administered.,"[-0.03286089  0.03082552 -0.02752173 ...  0.00650802 -0.00130437
  0.02162211]","[-0.01680646  0.07189814  0.02391108 ... -0.00496773 -0.03883489
  0.02507915]","[-0.03286089  0.03082552 -0.02752173 ... -0.00496773 -0.03883489
  0.02507915]",-1,4,DBSCAN_-1_AGG_4
