entity,question_code,description
MaritalStatus,,The marital status of the respondent; note the changes in survey administration method over different years.
SurveyAdministrationMethod,,Indicates whether marital status questions were self-administered or interviewer-administered.
Question,DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE
Variable,,Detailed age category recode for DUI incidents
Marital Status,,Comparison of marital status data across different years
Time Period,,The year in which the survey data was collected
Gender,SEXAGE,Respondent's gender
Age,SEXAGE,Respondent's age category
RaceHispanicityRecode,NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS)
MaritalStatus,NEWRACE2,Marital status as determined by different methodologies in various years of the survey.
Gender,SEXRACE,Represents the gender of the respondent.
Race,SEXRACE,Represents the race of the respondent.
Marital Status,SEXRACE,Indicates the marital status of the respondent.
Survey Period,SEXRACE,Time period of the survey reference.
EducationCategory,,Categories of educational attainment.
MaritalStatusComparability,,"Indicates changes in how marital status questions were administered between self-administration and interviewer administration in certain years, affecting comparability."
OverallHealthIndicator,HEALTH2,RC-OVERALL HEALTH RECODE
SurveyMethod,HEALTH2,Mode of administration for marital status questions (self-administration or interviewer administration)
MaritalStatusVariable,HEALTH2,Reflects marital status variable and its comparability over the years
SurveyYear,HEALTH2,"Years of data collection for marital status variable comparability (2002-2014, 2015, 2016)"
SchoolEnrollmentStatus,EDUSCHLGO,"Current enrollment status in school, including breaks with intention to return."
SchoolType,EDUSCHLGO,"Types of schools mentioned include elementary school, junior high or middle school, high school, college, university, and home schooling."
SurveyRespondent,EDUSCHLGO,The person who is responding to the survey.
Education,EDUSCHGRD2,The grade or year of school the respondent is currently attending or will be attending after their vacation.
GradeLevel,EDUSCHGRD2,The specific grade level or academic year the respondent is in or will enter.
Respondent,EDUSCHGRD2,The individual answering the question about their current or upcoming grade or year of school.
StudentStatus,,Indicates whether the respondent is a full-time or part-time student.
Respondent,,The individual responding to the survey question.
DaysMissedSchool,EDUSCKEST,Number of whole days missed from school because of being sick or injured.
Reason,EDUSCKEST,Reasons for missing school - could be sickness or injury.
SurveyPeriod,EDUSCKEST,"The time period during which the behavior is reported, in this case, the past 30 days."
SchoolAbsenteeism,EDUSCKCOM,Number of days missed school due to being sick (combined)
SchoolAbsenteeismMonth,EDUSCKMON,Number of days missed school in the month due to being sick (given a valid number)
SchoolAbsenteeismEstimate,EDUSCKEST,Estimated number of days missed school due to being sick when respondents answered 'don't know' or 'refused'
Respondent,EDUSCKCOM,The individual providing responses to the survey questions
SurveyQuestion,EDUSCKCOM,A specific question within the NSDUH survey
SchoolAttendance,EDUSKPMON,"The frequency of whole days missed from school due to skipping, cutting, or not wanting to be there in the past 30 days."
DateRange,EDUSKPMON,The past 30-day period referred to in the question.
PersonalReason,EDUSKPMON,"Personal reasons like skipping, cutting, or not wanting to attend school as reasons for missing school days."
SchoolAttendance,EDUSKPEST,Number of whole days of school missed because of skipping or 'cutting'.
SurveyPeriod,EDUSKPEST,"The period during which the survey is concerned, specifically the past 30 days."
Respondent,EDUSKPEST,The individual providing the response about school attendance.
SchoolDaysMissed,,"Number of days missed school from skipping, based on responses from EDUSKPMON and EDUSKPEST."
Respondent,,Individual responding to the survey.
SchoolAttendance,,"Attendance record of the respondent, including days missed from school."
ImmediateFamily,MILTFAMLY,"Pool of family members considered for the question whether any are currently serving in the US military. This includes spouse, unmarried partner, mother, father, sons, daughters, brothers, and sisters, whether biological, step or adoptive."
MilitaryStatus,MILTFAMLY,Indicates whether any of the immediate family members are currently serving in the United States military.
FamilyMember,MILTFAMLY,"Members of the respondent's family including spouse, unmarried partner, mother, father, sons, daughters, brothers, and sisters who are considered when answering the military service question."
MilitaryStatus,MILTSPPAR,"Current military status of spouse, partner, or other family members."
FamilyMember,MILTSPPAR,"Specific family members considered in the survey question: spouse, unmarried partner, mother, father, son(s), daughter(s), brother(s), sister(s)."
Spouse,MILTSPPAR,"Spouse of the respondent, regardless of biological, step, or adoptive status."
UnmarriedPartner,MILTSPPAR,Unmarried partner of the respondent.
Parent,MILTSPPAR,"Mother or father of the respondent, inclusive of biological, step, or adoptive."
Child,MILTSPPAR,"Son(s) or daughter(s) of the respondent, inclusive of biological, step, or adoptive."
Sibling,MILTSPPAR,"Brother(s) or sister(s) of the respondent, inclusive of biological, step, or adoptive."
MilitaryService,MILTSPPAR,Definition of military service as referred to in the question.
FamilyMember,MILTPARNT,Family members who may be currently serving in the United States military.
MilitaryService,MILTPARNT,Current service status of family members in the United States military.
FamilyMember,MILTCHLDR,"Family members of the respondent, including spouse, unmarried partner, mother, father, son(s), daughter(s), brother(s), sister(s)."
MilitaryService,MILTCHLDR,Serving in the United States military.
FamilyMember,MILTSIBLN,"A family member of the respondent. Valid types include spouse, unmarried partner, mother, father, son, daughter, brother, or sister, whether biological, step, or adoptive."
MilitaryService,MILTSIBLN,Indicates whether the family member is currently serving in the United States military.
CollegeEnrollment,ENRLCOLLFT2,Enrollment status of family members in college full-time.
FamilyMember,ENRLCOLLFT2,"Family members including spouse, unmarried partner, mother, father, son, daughter, brother, and sister."
MilitaryService,ENRLCOLLFT2,Military service status of family members.
FamilyMemberSpouse,ENRLCOLLST2,The spouse of the respondent.
FamilyMemberUnmarriedPartner,ENRLCOLLST2,The unmarried partner of the respondent.
FamilyMemberMother,ENRLCOLLST2,The mother of the respondent.
FamilyMemberFather,ENRLCOLLST2,The father of the respondent.
FamilyMemberSon,ENRLCOLLST2,The son or sons of the respondent.
FamilyMemberDaughter,ENRLCOLLST2,The daughter or daughters of the respondent.
FamilyMemberBrother,ENRLCOLLST2,The brother or brothers of the respondent.
FamilyMemberSister,ENRLCOLLST2,The sister or sisters of the respondent.
MilitaryService,ENRLCOLLST2,Family members serving in the United States military.
WorkSituation,WRKSTATWK2,Recode of the respondent’s work situation in the past week.
Worked35MoreHoursPastWeek,WRK35WKUS,Indicates whether the respondent worked 35 hours or more in the past week.
WorkedLastWeek,WRKDPSTWK,Indicates whether the respondent worked during the past week.
WorkedPastYear,WRKDPSTYR,Indicates whether the respondent worked at any time in the past year.
MadeEffortToFindWork,WRKEFFORT,Indicates whether the respondent made an effort to find work if not employed.
ReasonForJob,WRKRSNJOB,Indicates the reason for having a job.
ReasonForNotWorking,WRKRSNNOT,Indicates the reason for not working.
WorkStatus,WRKDPSTWK,Work status of the respondent during the past week.
Respondent,WRKDPSTWK,Individual who is responding to the survey.
SurveyPeriod,WRKDPSTWK,"Week beginning on Sunday, [STARTDATE] and ending on Saturday, [ENDDATE]."
EmploymentStatus,WRKHADJOB,"The employment or business ownership status of the respondent, even if they did not work last week."
Respondent,WRKHADJOB,The individual responding to the survey.
WorkHoursLastWeek,WRKDHRSWK2,The number of hours worked in the last week at all jobs or businesses.
Employment,WRKDHRSWK2,The employment status and work activity of the respondent in the last week.
WorkHours,WRK35WKUS,The number of hours an individual usually works per week at all jobs or businesses.
EmploymentStatus,WRK35WKUS,The employment status of the respondent based on their working hours.
Respondent,WRK35WKUS,"The civilian, noninstitutionalized population aged 12 or older in the United States who responds to the survey."
ReasonForNotWorking,WRKRSNNOT,Reason for not working at the job in the past week.
TimePeriod,WRKRSNNOT,Past week.
ReasonForNotWorking,,The reason why the respondent did not have a job or business in the past week.
EmploymentStatus,,The employment status of the respondent in the past week.
Respondent,,An individual who is answering the survey.
EffortToFindWork,WRKEFFORT,Effort made to find work in the past 30 days.
JobContacts,WRKEFFORT,Contacts made with anyone about a job.
ResumeSent,WRKEFFORT,Resumes or job applications sent out.
AdsInteraction,WRKEFFORT,Placement or answering of job ads.
SurveyPeriod,WRKEFFORT,Past 30 days.
WorkSearchExclusion,WRKEFFORT,Reading job ads is not included.
Employment,WRKDPSTYR,Employment status of the respondent in the past 12 months.
SurveyPeriod,WRKDPSTYR,"The time period under consideration, which is the past 12 months."
Respondent,WRKDPSTYR,The individual answering the survey.
Job,WRKDPSTYR,A place where a respondent might have worked.
EmploymentStatus,WRKSELFEM,Indicator of self-employment status of the respondent in the past 12 months.
TimePeriod,WRKSELFEM,Time frame of the past 12 months.
EmployerCount,WRKNUMJOB2,Number of different employers the respondent had in the past 12 months.
EmploymentStatus,WRKNUMJOB2,Employment status of the respondent over the past 12 months.
TimePeriod,WRKNUMJOB2,The past 12 months period.
EmploymentStatus,WRKNJBPYR,"The employment status of the respondent during the past 12 months, focusing on periods without a job or business."
TimePeriod,WRKNJBPYR,A timeframe of 12 months during which the respondent's employment status is assessed.
Respondent,WRKNJBPYR,The individual responding to the survey.
Job,WRKNJBWKS,Representation of employment status or work engagement of the respondent.
WeeksWithoutJob,WRKNJBWKS,Number of weeks during the past 12 months when the respondent did not have at least one job or business.
SurveyPeriod,WRKNJBWKS,"The period over which the data is being collected, in this case, the past 12 months."
YearLastWorked,WRKLASTYR2,The year in which the respondent last worked at a job or business.
DaysMissedWork,WRKSICKMO,Number of whole days of work missed by the respondent due to sickness or injury in the past 30 days.
Respondent,WRKSICKMO,The individual who is answering the survey.
SicknessOrInjury,WRKSICKMO,"Conditions causing the respondent to miss work, including sickness or injury."
SurveyPeriod,WRKSICKMO,The specific time frame of the past 30 days referred to in the survey.
WorkStatus,WRKSICKMO,The employment status of the respondent impacted by sickness or injury.
WorkAbsenceDays,WRKSKIPMO,Number of whole days missed from work in the past 30 days because the respondent didn't want to be there.
SurveyPeriod,WRKSKIPMO,The past 30 days from the specified date to today.
PersonalChoiceAbsence,WRKSKIPMO,"Days missed from work due to personal choice, not including planned vacations or family sickness."
Workplace,WRKDRGPOL,The place where the respondent is employed.
WrittenPolicy,WRKDRGPOL,A formal document outlining rules and guidelines about employee use of alcohol or drugs.
DrugUse,WRKDRGPOL,Consumption of illegal drugs or misuse of prescription drugs.
AlcoholUse,WRKDRGPOL,Consumption of alcoholic beverages.
Policy,WRKDRGALB,A set of guidelines or rules established for a specific purpose.
Alcohol,WRKDRGALB,"An intoxicating substance consumed in various forms such as beer, wine, and spirits."
Drugs,WRKDRGALB,"Substances that can cause addiction, physical or psychological changes."
WorkplaceEducation,WRKDRGEDU,Educational information provided at the workplace regarding the use of alcohol or drugs.
Workplace,WRKDRGEDU,The respondent's place of employment.
Alcohol,WRKDRGEDU,A type of substance referred to in the educational information.
Drugs,WRKDRGEDU,Substances other than alcohol referred to in the educational information.
Education,WRKDRGEDU,The act of providing knowledge or information.
WorkplaceAssistanceProgram,WRKDRGHLP,Employee assistance program or other type of counseling program for employees with alcohol or drug-related problems offered through the workplace.
Workplace,WRKDRGHLP,The place where the respondent is employed.
Employee,WRKDRGHLP,An individual who is employed at a workplace.
AlcoholDrugRelatedProblems,WRKDRGHLP,Problems related to the use of alcohol or drugs.
Workplace,WRKTSTALC,The place of employment of the respondent.
Alcohol Usage Test,WRKTSTALC,Tests administered to employees to check for alcohol use.
Employee,WRKTSTALC,The respondent who is an employee.
Workplace,WRKTSTDRG,The place where an individual is employed.
DrugUseTest,WRKTSTDRG,A test administered to check for substances used by employees.
Employee,WRKTSTDRG,An individual who works for a workplace.
Workplace,WRKTSTHIR,The organization where the respondent is employed.
DrugTest,WRKTSTHIR,The test administered to detect drug use.
AlcoholTest,WRKTSTHIR,The test administered to detect alcohol use.
HiringProcess,WRKTSTHIR,The procedure followed by the workplace to hire new employees.
WorkplaceDrugTesting,WRKTSTRDM,Random drug or alcohol testing policy at the workplace
Workplace,WRKTSTRDM,The respondent's place of employment
Employee,WRKTSTRDM,An individual employed at a workplace
DrugUse,WRKTSTRDM,Use of drugs by employees
AlcoholUse,WRKTSTRDM,Use of alcohol by employees
EmployerDrugTesting,WRKOKPREH,The practice of an employer testing its employees for drug use as part of the hiring process.
JobApplicantPreference,WRKOKPREH,The likelihood of a job applicant wanting to work for an employer based on whether they conduct pre-hire drug testing.
WorkPreference,WRKOKRAND,Preference of respondent regarding working for an employer that conducts random drug/alcohol tests.
Employer,WRKOKRAND,Employer that conducts random drug/alcohol tests.
DrugTest,WRKOKRAND,Random drug or alcohol testing by the employer.
Respondent,WRKOKRAND,The individual responding to the survey.
EmploymentStatus,IRWRKSTAT,Employment status of the respondent; revised using imputation.
Self-AdministeredSurvey,IRWRKSTAT,Survey administered by the respondent themselves through ACASI.
EmploymentStatusImputationIndicator,IIWRKSTAT,"Imputation indicator for employment status, replacing EMPSTATY."
EmploymentStatus,IIWRKSTAT,Status of employment for a respondent.
EmploymentQuestions,IIWRKSTAT,Set of questions related to employment status.
ACASI,IIWRKSTAT,Audio Computer-Assisted Self-Interviewing system used for self-administered questions.
EmploymentStatus,II2WRKSTAT,Detailed imputation indicator for employment status.
SurveyMethod,II2WRKSTAT,Method of survey administration (interviewer-administered vs self-administered through ACASI).
EmploymentStatus,IRWRKSTAT18,"Employment status of respondents aged 18 or older, imputed and revised to include data from IRWRKSTAT and AGE3."
AgeGroup,IRWRKSTAT18,Age group of respondents.
EmploymentStatusIndicator,IIWRKSTAT18,"Indicator of employment status for respondents aged 18 and older, based on imputed data."
AgeGroup,IIWRKSTAT18,Age group categorization used in employment status imputation (12-17 years vs. 18+ years).
Respondent,IIWRKSTAT18,Individual participating in the survey.
EmploymentStatus,IIWRKSTAT18,Self-reported employment status of the respondent.
EmploymentStatus,II2WRKST18,Detailed imputation indicator for employment status of respondents aged 18 and older.
AgeGroup,II2WRKST18,Age group classification where respondents aged 12-17 are assigned a skip code for employment status questions.
ImputationIndicator,II2WRKST18,Indicator that shows whether data for employment status is imputed.
FamilyMemberInHouseholdOver18,EDFAM18,Indicator for having family members in the household aged 18 or older.
Household,EDFAM18,A household is defined as a person or group of people living in the same dwelling unit.
Age,EDFAM18,"The age of the individuals residing in the household, specifically those aged 18 or older."
MotherPresenceInHousehold,IMOTHER,Reports whether the respondent's mother is present in the household.
FamilyRelations,IMOTHER,Various family relationships captured under different codes.
Father_Presence,IFATHER,Indicates whether the father or father figure is present in the household.
Relationship_Status,MRELAT10,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT11,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT12,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT13,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT14,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT15,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT16,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT17,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT18,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT19,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT20,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT21,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT22,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT23,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT24,Relationship status with the respondent related to the father.
Relationship_Status,MRELAT25,Relationship status with the respondent related to the father.
Relationship_Status,MRELATO2,Relationship status with the respondent related to the father.
Relationship_Status,MRELATO3,Relationship status with the respondent related to the father.
Relationship_Status,MRELATO4,Relationship status with the respondent related to the father.
Relationship_Status,MRELATO5,Relationship status with the respondent related to the father.
Relationship_Status,MRELATO6,Relationship status with the respondent related to the father.
Relationship_Status,MRELATO7,Relationship status with the respondent related to the father.
HouseholdChildrenUnder18,NRCH17_2,Number of respondent's children under 18 in the household.
Respondent,NRCH17_2,The person answering the survey.
HouseholdSize,IRHHSIZ2,The total number of persons in the household.
HouseholdMember,IRHHSIZ2,A member of the household.
ImputationIndicator,IIHHSIZ2,Indicates whether the household size data was imputed.
HouseholdSize,IIHHSIZ2,The number of people living in the respondent's household.
FamilyRelationship,IIHHSIZ2,The relationship of household members to the respondent.
NumberOfKidsUnder18,IRKI17_2,Imputed and recoded number of kids under 18 years old in the household.
Household,IRKI17_2,The household that is being surveyed.
Individual,MRELAT10,Individual 10 related to the respondent in the household.
Individual,MRELAT11,Individual 11 related to the respondent in the household.
Individual,MRELAT12,Individual 12 related to the respondent in the household.
Individual,MRELAT13,Individual 13 related to the respondent in the household.
Individual,MRELAT14,Individual 14 related to the respondent in the household.
Individual,MRELAT15,Individual 15 related to the respondent in the household.
Individual,MRELAT16,Individual 16 related to the respondent in the household.
Individual,MRELAT17,Individual 17 related to the respondent in the household.
Individual,MRELAT18,Individual 18 related to the respondent in the household.
Individual,MRELAT19,Individual 19 related to the respondent in the household.
Individual,MRELAT20,Individual 20 related to the respondent in the household.
Individual,MRELAT21,Individual 21 related to the respondent in the household.
Individual,MRELAT22,Individual 22 related to the respondent in the household.
Individual,MRELAT23,Individual 23 related to the respondent in the household.
Individual,MRELAT24,Individual 24 related to the respondent in the household.
Individual,MRELAT25,Individual 25 related to the respondent in the household.
Individual,MRELATO2,Individual O2 related to the respondent in the household.
Individual,MRELATO3,Individual O3 related to the respondent in the household.
Individual,MRELATO4,Individual O4 related to the respondent in the household.
Individual,MRELATO5,Individual O5 related to the respondent in the household.
Individual,MRELATO6,Individual O6 related to the respondent in the household.
Individual,MRELATO7,Individual O7 related to the respondent in the household.
ImputationIndicator,IIKI17_2,Indicator if the response was imputed (MRELAT10 to MRELATO7).
HouseholdMember,IRHH65_2,Number of persons in the household aged 65 or older.
Age,IRHH65_2,Age of the household members.
Household,IRHH65_2,Group of individuals residing in a housing unit.
IMPUTATION_INDICATOR,IIHH65_2,Indicator of whether imputation was used for item response.
MRELAT10,MRELAT10,Relate to mental health status or treatment.
MRELAT11,MRELAT11,Relate to mental health status or treatment.
MRELAT12,MRELAT12,Relate to mental health status or treatment.
MRELAT13,MRELAT13,Relate to mental health status or treatment.
MRELAT14,MRELAT14,Relate to mental health status or treatment.
MRELAT15,MRELAT15,Relate to mental health status or treatment.
MRELAT16,MRELAT16,Relate to mental health status or treatment.
MRELAT17,MRELAT17,Relate to mental health status or treatment.
MRELAT18,MRELAT18,Relate to mental health status or treatment.
MRELAT19,MRELAT19,Relate to mental health status or treatment.
MRELAT20,MRELAT20,Relate to mental health status or treatment.
MRELAT21,MRELAT21,Relate to mental health status or treatment.
MRELAT22,MRELAT22,Relate to mental health status or treatment.
MRELAT23,MRELAT23,Relate to mental health status or treatment.
MRELAT24,MRELAT24,Relate to mental health status or treatment.
MRELAT25,MRELAT25,Relate to mental health status or treatment.
MRELATO2,MRELATO2,Relate to mental health status or treatment.
MRELATO3,MRELATO3,Relate to mental health status or treatment.
MRELATO4,MRELATO4,Relate to mental health status or treatment.
MRELATO5,MRELATO5,Relate to mental health status or treatment.
MRELATO6,MRELATO6,Relate to mental health status or treatment.
MRELATO7,MRELATO7,Relate to mental health status or treatment.
ProxyAvailability,PRXRETRY,Indicates whether respondents younger than 18 selected another proxy if their previously selected proxy was unavailable.
Respondent,PRXRETRY,The individual under the age of 18 responding to the survey.
